LAT,LON,ALLSKY_SFC_SW_DWN_avg_autumn,ALLSKY_SFC_SW_DWN_avg_spring,ALLSKY_SFC_SW_DWN_avg_summer,ALLSKY_SFC_SW_DWN_avg_winter,PSH_avg_autumn,PSH_avg_spring,PSH_avg_summer,PSH_avg_winter,GWETROOT_avg_autumn,GWETROOT_avg_spring,GWETROOT_avg_summer,GWETROOT_avg_winter,GWETTOP_avg_autumn,GWETTOP_avg_spring,GWETTOP_avg_summer,GWETTOP_avg_winter,PRECTOTCORR_avg_autumn,PRECTOTCORR_avg_spring,PRECTOTCORR_avg_summer,PRECTOTCORR_avg_winter,RH2M_avg_autumn,RH2M_avg_spring,RH2M_avg_summer,RH2M_avg_winter,T2M_avg_autumn,T2M_avg_spring,T2M_avg_summer,T2M_avg_winter,TSOIL1_avg_autumn,TSOIL1_avg_spring,TSOIL1_avg_summer,TSOIL1_avg_winter,TSOIL4_avg_autumn,TSOIL4_avg_spring,TSOIL4_avg_summer,TSOIL4_avg_winter,WS2M_avg_autumn,WS2M_avg_spring,WS2M_avg_summer,WS2M_avg_winter,City,GOV,land_cover,elevation,Distance_to_Nile_km,Distance_to_Nearest_Coast_km,Cluster
22.5,25.5,22.42956043956044,27.03784782608696,28.860956521739134,19.16370288248337,0.5381978021978022,0.6491521739130435,0.6926521739130435,0.4600886917960088,0.36,0.3623478260869565,0.3613478260869565,0.36,0.0821978021978021,0.0963043478260869,0.0875434782608695,0.0841685144124168,0.001098901098901,0.0636739130434782,0.076195652173913,0.0020177383592017,30.01523076923077,20.08360869565217,20.310413043478263,42.25472283813748,22.462967032967036,22.03476086956522,29.554804347826085,11.34880266075388,24.02769230769231,22.783565217391303,31.262565217391305,12.01638580931264,26.37564835164835,19.36882608695652,26.90476086956522,17.519623059866962,2.7640659340659344,3.014369565217391,3.017413043478261,2.624279379157428,Shurtah al-Dakhlah,Al Wadi al Jadid,Sparse Vegetation,805.0,533.8819044346302,971.7780706469144,0
22.5,26.5,22.23542857142857,26.829434782608693,28.75402173913044,19.017827050997784,0.5335824175824175,0.6440869565217391,0.6901304347826086,0.4563192904656319,0.27,0.2738260869565218,0.2701304347826087,0.27,0.0689230769230769,0.0828478260869565,0.0666304347826087,0.0706430155210643,0.0086373626373626,0.0908913043478261,0.034391304347826,0.0037472283813747,29.953296703296704,20.114804347826087,19.573565217391305,41.960110864745005,23.107252747252744,22.39410869565217,30.434934782608696,11.92128603104213,24.51630769230769,22.947695652173916,32.01732608695652,12.446274944567628,26.924703296703296,19.66,27.442891304347825,17.901951219512195,2.977186813186813,2.966478260869565,3.0819782608695654,2.658359201773836,Shurtah al-Dakhlah,Al Wadi al Jadid,Sparse Vegetation,553.0,438.8102217954129,884.0355323779513,0
22.5,27.5,21.751318681318683,26.726,28.52778260869565,18.712549889135257,0.521956043956044,0.6415,0.6847391304347826,0.4492017738359202,0.150021978021978,0.1542391304347826,0.1510869565217391,0.1507317073170731,0.0506813186813186,0.064195652173913,0.047891304347826,0.0617073170731707,0.0042637362637362,0.0756086956521739,0.0038478260869565,0.0139024390243902,29.884571428571427,19.831260869565217,19.009934782608696,41.84629711751663,24.581846153846158,23.603652173913044,32.04876086956522,13.16669623059867,25.797846153846155,23.95058695652174,33.33684782608696,13.638425720620845,28.183846153846154,20.739282608695653,28.72321739130435,18.99651884700665,3.4209670329670328,3.0195,3.3561521739130438,2.7280931263858093,Shurtah al-Dakhlah,Al Wadi al Jadid,Sparse Vegetation,372.0,348.3191510706053,796.836224538741,2
22.5,28.5,21.663406593406595,26.751478260869565,28.31226086956521,18.575742793791573,0.5198021978021978,0.6420869565217392,0.6794782608695652,0.4459866962305986,0.2,0.2,0.2,0.2,0.0463296703296703,0.0503043478260869,0.0464130434782608,0.0575609756097561,0.0002637362637362,0.0032608695652173,0.0098695652173913,0.0073614190687361,29.34325274725275,19.13360869565217,18.584173913043475,41.28980044345898,25.49936263736264,24.35271739130435,32.78402173913043,13.760443458980044,26.729714285714287,24.73154347826087,33.99036956521739,14.302705099778272,29.03276923076923,21.46793478260869,29.388543478260868,19.8239911308204,3.633692307692308,3.2066304347826087,3.60254347826087,2.837560975609756,Shurtah al-Dakhlah,Al Wadi al Jadid,Sparse Vegetation,276.0,266.4482689823212,709.62264793751,2
22.5,29.5,21.58101098901099,26.70923913043478,27.83015217391305,18.63039911308204,0.5178681318681319,0.6413478260869565,0.6681521739130435,0.4471175166297118,0.2,0.2,0.2,0.2003547671840354,0.0517362637362637,0.0543043478260869,0.0458478260869565,0.0629046563192904,0.0041098901098901,0.0022826086956521,0.0092826086956521,0.006940133037694,28.525934065934063,18.71926086956522,18.195586956521737,40.271086474501104,26.13213186813187,24.82382608695652,33.2859347826087,14.244035476718404,27.487032967032967,25.369239130434785,34.59510869565217,14.957317073170731,29.717736263736263,22.10732608695652,30.00334782608696,20.484722838137472,3.5829450549450548,3.234195652173913,3.5829782608695653,2.8309534368070954,Baris Shurtah,Al Wadi al Jadid,Bare Areas,254.0,187.1264906911073,619.174530481912,2
22.5,30.5,21.64578021978022,26.850739130434786,27.908978260869564,18.66791574279379,0.5194725274725275,0.6443478260869565,0.669913043478261,0.4480266075388027,0.200021978021978,0.2,0.2,0.2,0.0471648351648351,0.0445,0.0376521739130434,0.0538137472283813,0.0075384615384615,0.0004782608695652,0.0044565217391304,0.003370288248337,27.704989010989014,18.122804347826087,17.90754347826087,38.74545454545455,27.026,25.55195652173913,33.88508695652174,15.037427937915744,28.653472527472527,26.43108695652174,35.408956521739135,16.026319290465633,30.758615384615386,23.18052173913044,30.94341304347826,21.553503325942348,3.517274725274725,3.2533695652173917,3.616217391304348,2.805210643015521,Baris Shurtah,Al Wadi al Jadid,Bare Areas,235.0,101.25415308445687,523.2130948310134,2
22.5,31.5,21.47534065934066,27.00126086956522,27.595260869565216,18.84219512195122,0.5152747252747253,0.6480217391304347,0.6623478260869565,0.4522616407982261,0.2,0.2,0.2,0.2,0.0368131868131868,0.0414130434782608,0.0349782608695652,0.0460088691796008,0.0015604395604395,8.695652173913044e-05,0.000195652173913,0.0019512195121951,27.402109890109887,18.565652173913044,18.354304347826087,38.19920177383592,27.665142857142857,26.011065217391305,34.15369565217392,15.59649667405765,29.49241758241758,27.070521739130434,35.833173913043474,16.710354767184036,31.436021978021977,23.83345652173913,31.472282608695654,22.23889135254989,3.482989010989011,3.283108695652174,3.688478260869565,2.868159645232816,Unorganized in Aswan,Aswan,Sparse Vegetation,204.0,22.634657284906435,423.5376782858488,2
22.5,32.5,21.38070329670329,26.938108695652176,27.45295652173913,18.823924611973396,0.5131868131868131,0.6465217391304348,0.6588695652173913,0.4517073170731707,0.24,0.24,0.2403260869565217,0.2414412416851441,0.0522417582417582,0.0569565217391304,0.0466086956521739,0.0755432372505543,0.0051648351648351,0.0016739130434782,0.0150652173913043,0.0158314855875831,28.46283516483517,20.843478260869563,19.76480434782609,39.69509977827051,28.67520879120879,26.626739130434785,34.68278260869565,16.602838137472283,31.173736263736263,28.31836956521739,37.052,18.25361419068736,32.90428571428571,25.16660869565217,32.70876086956522,23.78314855875832,3.2167472527472527,3.262413043478261,3.714108695652174,2.9088248337028824,Unorganized in Aswan,Aswan,Bare Areas,253.0,17.11861705633435,325.21344453506674,2
22.5,33.5,21.24276923076923,26.84186956521739,27.13358695652174,18.668226164079822,0.5096483516483516,0.644108695652174,0.6509565217391304,0.4480487804878049,0.3108131868131867,0.3105217391304348,0.3101739130434783,0.3179157427937916,0.066087912087912,0.0725217391304347,0.0542826086956521,0.1343680709534368,0.0459120879120879,0.0033478260869565,0.0171739130434782,0.0709312638580931,26.914153846153848,18.94458695652174,16.544152173913044,38.24957871396896,30.09213186813187,27.694695652173912,35.53721739130435,18.027450110864745,32.85276923076923,29.711521739130436,38.03328260869566,19.92128603104213,34.27483516483516,26.60180434782609,33.87317391304348,25.4069623059867,3.1556263736263737,3.309195652173913,3.874347826086957,2.9736807095343685,Unorganized in Aswan,Aswan,Bare Areas,279.0,99.6562976997392,227.0636197530061,2
22.5,34.5,21.08287912087912,26.705782608695653,26.92582608695652,18.476274944567624,0.506,0.6409347826086956,0.6460652173913043,0.4435033259423503,0.3228131868131868,0.3267173913043478,0.3219565217391304,0.3301773835920177,0.0706373626373626,0.0769130434782608,0.0570652173913043,0.1390465631929046,0.046043956043956,0.0040434782608695,0.0134565217391304,0.0679379157427937,30.49468131868132,21.564652173913043,16.683282608695652,42.41070953436807,29.47268131868132,27.01180434782609,35.01530434782609,17.649556541019955,32.25573626373627,29.09086956521739,37.59002173913044,19.53738359201774,33.742000000000004,26.07382608695652,33.40241304347826,25.002195121951218,3.096065934065934,3.294391304347826,3.720217391304348,3.0017294900221727,Ash-Shalatin,Al Bahr al Ahmar,Rainfed Croplands,462.0,184.6109259696284,131.32422492644102,2
